unique_id,Date,forecast_lower,Chronos Large,forecast_upper
AAABus,2016-05-01,406.81517028808594,463.3544006347656,514.875408935547
AAABus,2016-06-01,401.4623107910156,460.00889587402344,545.3196411132812
AAABus,2016-07-01,471.38364868164064,568.73828125,622.2666015625
AAABus,2016-08-01,492.1259002685547,553.6834411621094,602.1934814453125
AAABus,2016-09-01,466.6999237060547,558.7017211914062,620.5938415527344
AAABus,2016-10-01,465.02716064453125,558.7017211914062,656.0563537597657
AAABus,2016-11-01,448.2995910644531,513.5372009277344,622.2666015625
AAABus,2016-12-01,318.1588653564453,386.40748596191406,456.66338806152345
AAAHol,2016-05-01,341.0319458007813,421.9742889404297,449.2108215332031
AAAHol,2016-06-01,364.04872741699216,444.9910583496094,496.0115875244141
AAAHol,2016-07-01,432.71544189453124,479.5162353515625,548.5665283203125
AAAHol,2016-08-01,339.8811065673828,398.9574890136719,460.3355712890625
AAAHol,2016-09-01,377.8587890625,437.3188018798828,514.0414154052735
AAAHol,2016-10-01,421.20704956054686,517.8775482177734,587.3114685058594
AAAHol,2016-11-01,364.04872741699216,458.4175109863281,499.46409606933594
AAAHol,2016-12-01,348.3206024169922,437.3188018798828,506.369140625
AAAOth,2016-05-01,78.87270584106446,101.60037231445312,110.26770401000977
AAAOth,2016-06-01,73.86491203308105,91.48848342895508,108.14901885986329
AAAOth,2016-07-01,76.7540267944336,95.82214736938477,110.55661544799806
AAAOth,2016-08-01,73.47969818115234,82.33963775634766,102.94862670898439
AAAOth,2016-09-01,62.30847434997558,81.85811614990234,109.01575088500977
AAAOth,2016-10-01,64.0419418334961,88.59937286376953,104.10426864624023
AAAOth,2016-11-01,67.02735252380371,86.67330169677734,106.03033981323242
AAAOth,2016-12-01,65.19758491516113,83.30266952514648,104.48948287963867
AAAVis,2016-05-01,644.4143981933594,716.668701171875,841.2045349121094
AAAVis,2016-06-01,622.6793823242188,737.2288513183594,807.7208557128906
AAAVis,2016-07-01,694.9336791992188,787.1607055664062,890.5489501953125
AAAVis,2016-08-01,586.2584838867188,649.1138610839844,752.5021057128906
AAAVis,2016-09-01,627.9662780761719,725.4801940917969,846.4914855957031
AAAVis,2016-10-01,663.2122497558594,804.78369140625,899.9478759765625
AAAVis,2016-11-01,634.4280395507812,716.668701171875,848.2537841796875
AAAVis,2016-12-01,832.98046875,904.6473388671875,1010.3853820800782
AABBus,2016-05-01,0.13026836514472961,3.8429099321365356,6.4091917991638185
AABBus,2016-06-01,0.13026836514472961,0.7816089391708374,5.275859355926515
AABBus,2016-07-01,0.13026836514472961,1.9540220499038696,6.018387508392334
AABBus,2016-08-01,0.13026836514472961,1.4980837106704712,6.122601509094238
AABBus,2016-09-01,0.13026836514472961,1.6934858560562134,4.5984652042388925
AABBus,2016-10-01,0.13026836514472961,1.237547367811203,5.731797695159914
AABBus,2016-11-01,0.13026836514472961,1.1072792708873749,4.520303964614872
AABBus,2016-12-01,0.13026836514472961,1.3678155541419983,5.028349542617799
