unique_id,Date,forecast_lower,forecast,forecast_upper
AAABus,2016-07-01,468.14378967285154,530.384521484375,583.5901550292969
AAABus,2016-08-01,471.4902404785156,548.7888793945312,591.6211730957032
AAABus,2016-09-01,504.95294799804685,567.1935119628906,620.3993041992188
AAABus,2016-10-01,493.57545166015626,580.57861328125,632.7805236816406
AAABus,2016-11-01,468.47857666015625,527.0382690429688,585.9326904296875
AAABus,2016-12-01,317.5613616943359,414.9378356933594,471.82489013671875
AAAHol,2016-07-01,413.8019256591797,490.8863830566406,564.1359802246094
AAAHol,2016-08-01,379.28631896972655,429.525390625,491.6533935546875
AAAHol,2016-09-01,404.9813629150391,487.05108642578125,556.4658813476562
AAAHol,2016-10-01,439.8800567626953,481.29864501953125,562.6017883300782
AAAHol,2016-11-01,376.6017639160156,446.7832336425781,508.52758789062506
AAAHol,2016-12-01,356.2760375976562,465.9584503173828,519.2659545898438
AAAOth,2016-07-01,82.16033935546875,93.7594985961914,126.91352615356446
AAAOth,2016-08-01,73.17109146118165,96.17594528198242,112.41470413208008
AAAOth,2016-09-01,70.56124114990234,88.92647552490234,108.54834060668945
AAAOth,2016-10-01,66.40488662719727,86.02676391601562,106.61515884399414
AAAOth,2016-11-01,67.37154541015624,91.34298706054688,103.52206802368165
AAAOth,2016-12-01,69.69130249023438,93.75943756103516,107.67835388183595
AAAVis,2016-07-01,697.4616577148438,781.4860229492188,847.8833312988281
AAAVis,2016-08-01,586.9963073730469,696.2866516113281,834.9565185546875
AAAVis,2016-09-01,628.7144165039062,734.4793701171875,853.7594787597657
AAAVis,2016-10-01,692.7613159179688,775.6101989746094,849.0585021972656
AAAVis,2016-11-01,681.00966796875,757.9830627441406,833.1941345214844
AAAVis,2016-12-01,866.0984008789062,946.0101013183594,1070.5773803710938
AABBus,2016-07-01,0.0,3.5650821924209595,7.350552225112922
AABBus,2016-08-01,0.0,0.0,5.976367998123169
AABBus,2016-09-01,0.0,1.750133454799652,3.370627713203432
AABBus,2016-10-01,0.0,0.7778436541557312,4.9262895584106445
AABBus,2016-11-01,0.0,0.0,3.3576629400253313
AABBus,2016-12-01,0.0,1.1019374430179596,3.720645904541017
AABHol,2016-07-01,67.11482772827148,83.28123474121094,107.77567291259766
AABHol,2016-08-01,52.54063262939453,70.42153930664062,85.97562637329102
AABHol,2016-09-01,46.17201652526855,69.19681549072266,91.11945114135743
