unique_id,Date,forecast_lower,forecast,forecast_upper
AAABus,2016-07-01,427.01098034425723,551.986703522329,670.934851112879
AAABus,2016-08-01,451.9975837728543,599.077399886177,693.1502582113694
AAABus,2016-09-01,502.66466076050745,597.1532798614339,706.1526774039918
AAABus,2016-10-01,488.722514827529,607.8722626380717,761.1586920320404
AAABus,2016-11-01,471.0241597204872,574.0791845117386,701.2738401333531
AAABus,2016-12-01,292.2829612523979,442.51023571818143,551.8996623191631
AAAHol,2016-07-01,353.6890995053013,564.5562285442966,659.4660189057586
AAAHol,2016-08-01,328.1936891345085,421.51400309770077,570.8852114504376
AAAHol,2016-09-01,381.30525853661743,491.9984882283273,622.5370086459403
AAAHol,2016-10-01,402.26902376752105,470.8467880889935,645.1115837876223
AAAHol,2016-11-01,340.8635986866287,459.5849751639738,592.3762466024486
AAAHol,2016-12-01,308.0642400010507,456.01585317696816,571.6774053372793
AAAOth,2016-07-01,93.15626733720465,129.9205797569461,217.19622405306075
AAAOth,2016-08-01,82.22576949613244,141.8959727487654,190.18667678670698
AAAOth,2016-09-01,86.7743930332044,145.66906705929614,203.81785075473508
AAAOth,2016-10-01,80.05946003891286,156.32529836218023,206.69085461575634
AAAOth,2016-11-01,82.08363013792376,130.73308916091878,181.49550387330976
AAAOth,2016-12-01,80.29099177868278,138.95861187025827,179.46852312934118
AAAVis,2016-07-01,563.1465759445905,693.2022867452889,927.0822558630132
AAAVis,2016-08-01,470.64260275890626,690.7713817675228,917.5794362240605
AAAVis,2016-09-01,541.0177148691043,712.6434938041306,944.4474915402966
AAAVis,2016-10-01,572.5999462942752,708.2060096896773,931.2323663329012
AAAVis,2016-11-01,563.7300019435261,720.7316298430803,900.2190004716517
AAAVis,2016-12-01,786.6894958795518,937.3305917801567,1156.2049300171159
AABBus,2016-07-01,0.2440036252366531,26.390545875354288,52.37494353288751
AABBus,2016-08-01,-1.464021233693469,7.500722645286933,33.63879062192514
AABBus,2016-09-01,10.597651749254634,36.0246449828126,52.4660243021988
AABBus,2016-10-01,0.8211901503002623,13.941454741488212,52.1981921840226
AABBus,2016-11-01,-0.10308446494643231,20.585700899391647,43.08789145303291
AABBus,2016-12-01,-3.7372201275225785,11.47457482831694,36.74737828867079
AABHol,2016-07-01,29.342884439763267,80.75588840165851,130.9508551395134
AABHol,2016-08-01,22.169068545742427,70.66151890587656,134.19692988479136
AABHol,2016-09-01,34.56174376068586,78.32832178518692,130.32632802617528
AABHol,2016-10-01,67.18515926112761,139.18770114113428,215.3145385282621
AABHol,2016-11-01,62.1068802146075,110.527911678561,171.26456600753917
AABHol,2016-12-01,109.44957094396973,166.67545945001723,199.55909991318
AABOth,2016-07-01,4.879524222131435,10.069706952097553,19.606746496503742
