unique_id,Date,forecast,forecast_lower,forecast_upper
AAABus,2016-01-01,383.1167308090812,297.6450763216058,441.4719796628605
AAABus,2016-02-01,490.61858927861795,394.34128861845375,563.1831359978537
AAABus,2016-03-01,514.8279357878052,425.36333201771515,582.760944333271
AAABus,2016-04-01,469.113990586882,414.3578820110847,559.6612678547822
AAABus,2016-05-01,528.2220596285981,441.1361872558891,636.5898715106819
AAABus,2016-06-01,494.4715772970118,413.13171493539164,546.9364137567959
AAAHol,2016-01-01,1207.9980149176522,788.1130578394001,1263.7580971099337
AAAHol,2016-02-01,380.0590931109937,341.95921489181546,492.1544571958194
AAAHol,2016-03-01,464.68386512519885,411.581837564408,557.4387146249175
AAAHol,2016-04-01,535.4599800457602,485.19021484005305,669.7509124058076
AAAHol,2016-05-01,449.4736317783574,393.46062473568423,550.621219710976
AAAHol,2016-06-01,478.9338985271315,414.5416321236369,557.2366216042094
AAAOth,2016-01-01,104.3897829825585,77.37854309320852,149.1331928889062
AAAOth,2016-02-01,160.49397333319925,102.40351127593918,211.05341938894105
AAAOth,2016-03-01,192.89835661404618,117.36823967661176,240.54566160957162
AAAOth,2016-04-01,190.41567671858488,105.36823157828901,222.7036754217589
AAAOth,2016-05-01,187.65388920825558,127.59196522337541,266.0606086215042
AAAOth,2016-06-01,183.54285712142865,114.58885762250479,221.25797051556196
AAAVis,2016-01-01,1022.5872740381344,915.5918372594019,1395.3323157218547
AAAVis,2016-02-01,792.4444203354916,653.9271527532569,965.7014608426557
AAAVis,2016-03-01,817.0634901419993,680.8404380293686,969.547698840343
AAAVis,2016-04-01,778.3110359481575,692.7022426490903,951.8816123681472
AAAVis,2016-05-01,787.1164194590633,677.1602290159569,916.9298325642353
AAAVis,2016-06-01,763.1350320037802,679.9491496045812,852.1181331198227
AABBus,2016-01-01,22.701108451471253,10.262149746393304,32.79071957741681
AABBus,2016-02-01,15.342232427038132,9.419275406366893,28.895904708916355
AABBus,2016-03-01,36.94481286794691,17.478751338466022,48.039653947848905
AABBus,2016-04-01,18.683811058603695,9.346828384041983,40.4059933798535
AABBus,2016-05-01,29.38875417053044,12.48084402240379,45.42764957440107
AABBus,2016-06-01,25.77385129240552,12.946732165904635,42.18828964598483
AABHol,2016-01-01,442.4311731374014,315.32102671299646,542.0863936320673
AABHol,2016-02-01,103.62353369163807,75.4215675834719,203.8045750027588
AABHol,2016-03-01,158.4150344131446,109.52971231440061,220.76386247249835
AABHol,2016-04-01,208.80984276929502,139.5645042157238,271.4719061938379
AABHol,2016-05-01,110.73612090612548,83.60497174548148,165.3864897880073
AABHol,2016-06-01,130.71774831736872,90.3535567754513,149.77234559219454
AABOth,2016-01-01,8.471907487835484,5.174840096924668,12.692605383030635
AABOth,2016-02-01,13.982467016692848,7.224653952629653,19.48123337842404
AABOth,2016-03-01,12.150872488943428,7.7205140823009275,22.061369726862463
AABOth,2016-04-01,14.780612053357995,6.043192271457581,22.908414618279288
AABOth,2016-05-01,18.605444746570342,10.284902932898568,26.54756401782081
AABOth,2016-06-01,12.22621437341246,7.5363260752917975,19.73315303871318
AABVis,2016-01-01,187.26407942042553,149.35981796198965,239.00755970190295
